activation_name,decision,median_mem_size_bytes,recomp_time_s,creation_rank,first_bw_use_rank
convolution,RECOMPUTE,205520896,0.200704,2336,4926
getitem_1,RETAINED,256,1e-06,2340,4926
getitem_2,RETAINED,256,1e-06,2341,4926
relu_,RECOMPUTE,205520896,0.200704,2343,4924
getitem_4,RECOMPUTE,51380224,0.050176,2345,4897
getitem_5,RECOMPUTE,102760448,0.100352,2346,4924
convolution_1,RECOMPUTE,51380224,0.050176,2347,4916
getitem_7,RETAINED,256,1e-06,2351,4916
getitem_8,RETAINED,256,1e-06,2352,4916
relu__1,RECOMPUTE,51380224,0.050176,2354,4912
convolution_2,RECOMPUTE,51380224,0.050176,2355,4908
getitem_11,RETAINED,256,1e-06,2359,4908
getitem_12,RETAINED,256,1e-06,2360,4908
relu__2,RETAINED,51380224,0.050176,2362,4904
convolution_3,RECOMPUTE,205520896,0.200704,2363,4900
getitem_15,RETAINED,1024,1e-06,2367,4900
getitem_16,RETAINED,1024,1e-06,2368,4900
convolution_4,RECOMPUTE,205520896,0.200704,2370,4893
getitem_19,RETAINED,1024,1e-06,2374,4893
getitem_20,RETAINED,1024,1e-06,2375,4893
relu__3,RECOMPUTE,205520896,0.200704,2378,4888
convolution_5,RECOMPUTE,51380224,0.050176,2379,4884
getitem_23,RETAINED,256,1e-06,2383,4884
getitem_24,RETAINED,256,1e-06,2384,4884
relu__4,RECOMPUTE,51380224,0.050176,2386,4880
convolution_6,RECOMPUTE,51380224,0.050176,2387,4876
getitem_27,RETAINED,256,1e-06,2391,4876
getitem_28,RETAINED,256,1e-06,2392,4876
relu__5,RECOMPUTE,51380224,0.050176,2394,4872
convolution_7,RECOMPUTE,205520896,0.200704,2395,4868
getitem_31,RETAINED,1024,1e-06,2399,4868
getitem_32,RETAINED,1024,1e-06,2400,4868
relu__6,RECOMPUTE,205520896,0.200704,2403,4863
convolution_8,RECOMPUTE,51380224,0.050176,2404,4859
getitem_35,RETAINED,256,1e-06,2408,4859
getitem_36,RETAINED,256,1e-06,2409,4859
relu__7,RECOMPUTE,51380224,0.050176,2411,4855
convolution_9,RECOMPUTE,51380224,0.050176,2412,4851
getitem_39,RETAINED,256,1e-06,2416,4851
getitem_40,RETAINED,256,1e-06,2417,4851
relu__8,RECOMPUTE,51380224,0.050176,2419,4847
convolution_10,RECOMPUTE,205520896,0.200704,2420,4843
getitem_43,RETAINED,1024,1e-06,2424,4843
getitem_44,RETAINED,1024,1e-06,2425,4843
relu__9,RECOMPUTE,205520896,0.200704,2428,4815
convolution_11,RECOMPUTE,102760448,0.100352,2429,4834
getitem_47,RETAINED,512,1e-06,2433,4834
getitem_48,RETAINED,512,1e-06,2434,4834
relu__10,RECOMPUTE,102760448,0.100352,2436,4830
convolution_12,RETAINED,25690112,0.025088,2437,4826
getitem_51,RETAINED,512,1e-06,2441,4826
getitem_52,RETAINED,512,1e-06,2442,4826
relu__11,RETAINED,25690112,0.025088,2444,4822
convolution_13,RECOMPUTE,102760448,0.100352,2445,4818
getitem_55,RETAINED,2048,2e-06,2449,4818
getitem_56,RETAINED,2048,2e-06,2450,4818
convolution_14,RECOMPUTE,102760448,0.100352,2452,4811
getitem_59,RETAINED,2048,2e-06,2456,4811
getitem_60,RETAINED,2048,2e-06,2457,4811
relu__12,RECOMPUTE,102760448,0.100352,2460,4806
convolution_15,RETAINED,25690112,0.025088,2461,4802
getitem_63,RETAINED,512,1e-06,2465,4802
getitem_64,RETAINED,512,1e-06,2466,4802
relu__13,RETAINED,25690112,0.025088,2468,4798
convolution_16,RETAINED,25690112,0.025088,2469,4794
getitem_67,RETAINED,512,1e-06,2473,4794
getitem_68,RETAINED,512,1e-06,2474,4794
relu__14,RETAINED,25690112,0.025088,2476,4790
convolution_17,RECOMPUTE,102760448,0.100352,2477,4786
getitem_71,RETAINED,2048,2e-06,2481,4786
getitem_72,RETAINED,2048,2e-06,2482,4786
relu__15,RECOMPUTE,102760448,0.100352,2485,4781
convolution_18,RETAINED,25690112,0.025088,2486,4777
getitem_75,RETAINED,512,1e-06,2490,4777
getitem_76,RETAINED,512,1e-06,2491,4777
relu__16,RETAINED,25690112,0.025088,2493,4773
convolution_19,RETAINED,25690112,0.025088,2494,4769
getitem_79,RETAINED,512,1e-06,2498,4769
getitem_80,RETAINED,512,1e-06,2499,4769
relu__17,RETAINED,25690112,0.025088,2501,4765
convolution_20,RECOMPUTE,102760448,0.100352,2502,4761
getitem_83,RETAINED,2048,2e-06,2506,4761
getitem_84,RETAINED,2048,2e-06,2507,4761
relu__18,RECOMPUTE,102760448,0.100352,2510,4756
convolution_21,RETAINED,25690112,0.025088,2511,4752
getitem_87,RETAINED,512,1e-06,2515,4752
getitem_88,RETAINED,512,1e-06,2516,4752
relu__19,RETAINED,25690112,0.025088,2518,4748
convolution_22,RETAINED,25690112,0.025088,2519,4744
getitem_91,RETAINED,512,1e-06,2523,4744
getitem_92,RETAINED,512,1e-06,2524,4744
relu__20,RETAINED,25690112,0.025088,2526,4740
convolution_23,RECOMPUTE,102760448,0.100352,2527,4736
getitem_95,RETAINED,2048,2e-06,2531,4736
getitem_96,RETAINED,2048,2e-06,2532,4736
relu__21,RECOMPUTE,102760448,0.100352,2535,4731
convolution_24,RETAINED,25690112,0.025088,2536,4727
getitem_99,RETAINED,512,1e-06,2540,4727
getitem_100,RETAINED,512,1e-06,2541,4727
relu__22,RETAINED,25690112,0.025088,2543,4723
convolution_25,RETAINED,25690112,0.025088,2544,4719
getitem_103,RETAINED,512,1e-06,2548,4719
getitem_104,RETAINED,512,1e-06,2549,4719
relu__23,RETAINED,25690112,0.025088,2551,4715
convolution_26,RECOMPUTE,102760448,0.100352,2552,4711
getitem_107,RETAINED,2048,2e-06,2556,4711
getitem_108,RETAINED,2048,2e-06,2557,4711
relu__24,RECOMPUTE,102760448,0.100352,2560,4706
convolution_27,RETAINED,25690112,0.025088,2561,4702
getitem_111,RETAINED,512,1e-06,2565,4702
getitem_112,RETAINED,512,1e-06,2566,4702
relu__25,RETAINED,25690112,0.025088,2568,4698
convolution_28,RETAINED,25690112,0.025088,2569,4694
getitem_115,RETAINED,512,1e-06,2573,4694
getitem_116,RETAINED,512,1e-06,2574,4694
relu__26,RETAINED,25690112,0.025088,2576,4690
convolution_29,RECOMPUTE,102760448,0.100352,2577,4686
getitem_119,RETAINED,2048,2e-06,2581,4686
getitem_120,RETAINED,2048,2e-06,2582,4686
relu__27,RECOMPUTE,102760448,0.100352,2585,4681
convolution_30,RETAINED,25690112,0.025088,2586,4677
getitem_123,RETAINED,512,1e-06,2590,4677
getitem_124,RETAINED,512,1e-06,2591,4677
relu__28,RETAINED,25690112,0.025088,2593,4673
convolution_31,RETAINED,25690112,0.025088,2594,4669
getitem_127,RETAINED,512,1e-06,2598,4669
getitem_128,RETAINED,512,1e-06,2599,4669
relu__29,RETAINED,25690112,0.025088,2601,4665
convolution_32,RECOMPUTE,102760448,0.100352,2602,4661
getitem_131,RETAINED,2048,2e-06,2606,4661
getitem_132,RETAINED,2048,2e-06,2607,4661
relu__30,RECOMPUTE,102760448,0.100352,2610,4656
convolution_33,RETAINED,25690112,0.025088,2611,4652
getitem_135,RETAINED,512,1e-06,2615,4652
getitem_136,RETAINED,512,1e-06,2616,4652
relu__31,RETAINED,25690112,0.025088,2618,4648
convolution_34,RETAINED,25690112,0.025088,2619,4644
getitem_139,RETAINED,512,1e-06,2623,4644
getitem_140,RETAINED,512,1e-06,2624,4644
relu__32,RETAINED,25690112,0.025088,2626,4640
convolution_35,RECOMPUTE,102760448,0.100352,2627,4636
getitem_143,RETAINED,2048,2e-06,2631,4636
getitem_144,RETAINED,2048,2e-06,2632,4636
relu__33,RECOMPUTE,102760448,0.100352,2635,4608
convolution_36,RECOMPUTE,51380224,0.050176,2636,4627
getitem_147,RETAINED,1024,1e-06,2640,4627
getitem_148,RETAINED,1024,1e-06,2641,4627
relu__34,RECOMPUTE,51380224,0.050176,2643,4623
convolution_37,RETAINED,12845056,0.012544,2644,4619
getitem_151,RETAINED,1024,1e-06,2648,4619
getitem_152,RETAINED,1024,1e-06,2649,4619
relu__35,RETAINED,12845056,0.012544,2651,4615
convolution_38,RECOMPUTE,51380224,0.050176,2652,4611
getitem_155,RETAINED,4096,4e-06,2656,4611
getitem_156,RETAINED,4096,4e-06,2657,4611
convolution_39,RECOMPUTE,51380224,0.050176,2659,4604
getitem_159,RETAINED,4096,4e-06,2663,4604
getitem_160,RETAINED,4096,4e-06,2664,4604
relu__36,RETAINED,51380224,0.050176,2667,4599
convolution_40,RETAINED,12845056,0.012544,2668,4595
getitem_163,RETAINED,1024,1e-06,2672,4595
getitem_164,RETAINED,1024,1e-06,2673,4595
relu__37,RETAINED,12845056,0.012544,2675,4591
convolution_41,RETAINED,12845056,0.012544,2676,4587
getitem_167,RETAINED,1024,1e-06,2680,4587
getitem_168,RETAINED,1024,1e-06,2681,4587
relu__38,RETAINED,12845056,0.012544,2683,4583
convolution_42,RECOMPUTE,51380224,0.050176,2684,4579
getitem_171,RETAINED,4096,4e-06,2688,4579
getitem_172,RETAINED,4096,4e-06,2689,4579
relu__39,RECOMPUTE,51380224,0.050176,2692,4574
convolution_43,RETAINED,12845056,0.012544,2693,4570
getitem_175,RETAINED,1024,1e-06,2697,4570
getitem_176,RETAINED,1024,1e-06,2698,4570
relu__40,RETAINED,12845056,0.012544,2700,4566
convolution_44,RETAINED,12845056,0.012544,2701,4562
getitem_179,RETAINED,1024,1e-06,2705,4562
getitem_180,RETAINED,1024,1e-06,2706,4562
relu__41,RETAINED,12845056,0.012544,2708,4558
convolution_45,RETAINED,51380224,0.050176,2709,4554
getitem_183,RETAINED,4096,4e-06,2713,4554
getitem_184,RETAINED,4096,4e-06,2714,4554
relu__42,RECOMPUTE,51380224,0.050176,2717,4549
